HebName,Name,ID,EngName,Region,SubDistrict,NaturalZone,StausMunicipal,Metropolitan,Religion,Pop2015,JewsOthers,Jews,Arebs,YearEst,TypeSuratYeshuv,Affiliation ,Coordinate,Hight,RegionalComittee,Police,YearUpdate,Link
אבו ג'ווייעד (שבט),אבו ג'ווייעד (שבט),967,ABU JUWEI'ID,6,62,623,,,3,,,,,,460,,2040057100,,699,3481,2015,http://gis.cbs.gov.il.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=967
אבו גוש,אבו גוש,472,ABU GHOSH,1,11,111,99,444,2,6978,,,6.9,,280,,2105263481,686,152,6129,2015,http://gis.cbs.gov.il.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=472
אבו סנאן,אבו סנאן,473,ABU SINAN,2,24,245,99,,2,13358,,,13.3,,270,,2160676282,71,252,1330,2015,http://gis.cbs.gov.il.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=473
אבו סריחאן (שבט),אבו סריחאן (שבט),935,ABU SUREIHAN,6,62,623,,,3,,,,,,460,,1865057450,,699,3481,2015,http://gis.cbs.gov.il.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=935
אבו עבדון (שבט),אבו עבדון (שבט),958,ABU  ABDUN,6,62,623,,,3,,,,,,460,,1850057900,,699,3481,2015,http://gis.cbs.gov.il.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=958
אבו עמאר (שבט),אבו עמאר (שבט),1042,ABU  AMMAR,6,62,623,,,3,,,,,,460,,1950056700,,699,3481,2015,http://gis.cbs.gov.il.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1042
אבו עמרה (שבט),אבו עמרה (שבט),932,ABU  AMRE,6,62,623,,,3,,,,,,460,,1850057100,,699,3481,2015,http://gis.cbs.gov.il.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=932
אבו קורינאת (יישוב),אבו קורינאת (יישוב),1342,ABU QUREINAT,6,62,623,68,,2,1218,,,1.2,,450,,1962956100,450,624,3481,2015,http://gis.cbs.gov.il.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1342
אבו קורינאת (שבט),אבו קורינאת (שבט),968,ABU QUREINAT,6,62,623,,,3,,,,,,460,,1970056000,,699,3481,2015,http://gis.cbs.gov.il.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=968
אבו רובייעה (שבט),אבו רובייעה (שבט),966,ABU RUBEI'A,6,62,623,,,3,,,,,,460,,2050057200,,699,3481,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=966
אבו רוקייק (שבט),אבו רוקייק (שבט),961,ABU RUQAYYEQ,6,62,623,,,3,,,,,,460,,1920056600,,699,3481,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=961
אבו תלול,אבו תלול,1375,ABU TULUL,6,62,623,68,,2,117,,,0.1,,450,,1934356585,388,624,3481,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1375
אבטין,אבטין,652,IBTIN,3,31,311,12,222,2,2689,,,2.7,,290,,2108874076,49,301,1160,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=652
אבטליון,אבטליון,1275,AVTALYON,2,24,241,56,,1,381,0.4,0.4,,1987,370,10,2331474908,362,205,1360,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1275
אביאל,אביאל,679,AVI'EL,3,32,324,45,,1,817,0.8,0.8,,1949,310,9,1996171533,52,351,1181,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=679
אביבים,אביבים,1115,AVIVIM,2,21,212,2,,1,496,0.5,0.5,,1960,310,1,2444177707,725,209,1230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1115
אביגדור,אביגדור,819,AVIGEDOR,6,61,611,33,143,1,763,0.8,0.8,,1950,310,1,1757162427,63,616,3830,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=819
אביחיל,אביחיל,175,AVIHAYIL,4,41,411,16,141,1,1395,1.4,1.4,,1932,310,1,1880769526,35,409,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=175
אביטל,אביטל,2052,AVITAL,2,23,234,8,,1,499,0.5,0.5,,1953,310,1,2291271816,72,204,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2052
אביעזר,אביעזר,1070,AVI'EZER,1,11,112,26,444,1,847,0.8,0.8,,1958,310,2,2016662104,377,151,7004,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1070
אבירים,אבירים,1220,ABBIRIM,2,24,244,52,,1,194,0.2,0.2,,1980,370,19,2271577148,561,255,1320,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1220
אבן יהודה,אבן יהודה,182,EVEN YEHUDA,4,41,411,99,141,1,13221,13.2,13,,1932,170,,1894568642,36,457,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=182
אבן מנחם,אבן מנחם,1081,EVEN MENAHEM,2,24,244,52,,1,264,0.3,0.3,,1960,310,1,2278277545,605,255,1350,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1081
אבן ספיר,אבן ספיר,783,EVEN SAPPIR,1,11,111,26,444,1,740,0.7,0.7,,1950,310,1,2128463002,615,151,6130,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=783
אבן שמואל,אבן שמואל,400,EVEN SHEMU'EL,6,61,612,34,,1,1535,1.5,1.5,,1956,350,,1775460940,155,631,3820,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=400
אבני איתן,אבני איתן,4011,AVNE ETAN,2,29,294,71,,1,633,0.6,0.6,,1978,310,2,2719674774,381,219,1270,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4011
אבני חפץ,אבני חפץ,3793,AVNE HEFEZ,7,73,,72,,1,1709,1.7,1.7,,1990,370,11,2071268798,191,710,4164,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3793
אבנת,אבנת,3786,AVENAT,7,75,,74,,1,128,0.1,0.1,,1983,370,,2414962074,-341,713,4355,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3786
אבשלום,אבשלום,1311,AVSHALOM,6,62,622,38,,1,258,0.3,0.2,,1990,370,10,1361956745,91,651,3430,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1311
אדורה,אדורה,3759,ADORA,7,77,,78,,1,404,0.4,0.4,,1984,370,9,2017560676,652,715,4352,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3759
אדירים,אדירים,113,ADDIRIM,2,23,234,8,,1,267,0.3,0.3,,1956,310,1,2257971719,71,204,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=113
אדמית,אדמית,1068,ADAMIT,2,24,244,4,,1,175,0.2,0.2,,1958,330,15,2199777600,449,201,1350,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1068
אדרת,אדרת,1123,ADDERET,1,11,112,26,444,1,869,0.9,0.9,,1961,310,1,1995861869,433,151,7004,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1123
אודים,אודים,446,UDIM,4,41,411,19,141,1,1306,1.3,1.3,,1948,310,10,1858268581,12,401,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=446
אודם,אודם,4010,ODEM,2,29,292,71,,1,118,0.1,0.1,,1976,320,6,2702878880,1050,219,1270,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4010
אוהד,אוהד,1046,OHAD,6,62,622,38,,1,404,0.4,0.4,,1969,310,1,1458057199,131,651,3430,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1046
אום אל-פחם,אום אל-פחם,2710,UMM AL-FAHM,3,32,323,0,,2,52500,,,52.4,,250,,2144971388,310,354,1470,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2710
אום אל-קוטוף,אום אל-קוטוף,2024,UMM AL-QUTUF,3,32,323,14,,2,1037,,,1,,450,,2055370835,138,351,1450,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2024
אום בטין,אום בטין,1358,UMM BATIN,6,62,623,69,342,2,3080,,,3.1,,290,,1886757656,329,624,3481,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1358
אומן,אומן,1108,OMEN,2,23,234,8,,1,327,0.3,0.3,,1958,350,,2230271878,65,204,1420,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1108
אומץ,אומץ,680,OMEZ,4,41,412,16,141,1,782,0.8,0.8,,1949,310,1,1996969743,33,409,5120,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=680
אופקים,אופקים,31,OFAQIM,6,62,622,0,,1,25638,25.5,23.8,,1955,160,,1639057980,141,601,3430,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=31
אור הגנוז,אור הגנוז,1294,OR HAGANUZ,2,21,212,2,,1,454,0.5,0.5,,1989,320,11,2421276781,732,209,1230,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1294
אור הנר,אור הנר,67,OR HANER,6,61,614,37,,1,708,0.7,0.7,,1957,330,15,1620260736,56,651,3840,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=67
אור יהודה,אור יהודה,2400,OR YEHUDA,5,52,512,0,122,1,36164,36.1,35.4,,1950,160,,1863165963,29,552,2370,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2400
אור עקיבא,אור עקיבא,1020,OR AQIVA,3,32,324,0,,1,17084,17,15.8,,1951,170,,1927471263,15,353,1180,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1020
אורה,אורה,780,ORA,1,11,111,26,444,1,1301,1.3,1.3,,1950,310,1,2145762903,804,151,6130,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=780
אורון,אורון,1771, ,6,62,626,48,,,,,,,,520,,2015953577,,620,3450,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1771
אורות,אורות,2012,OROT,6,61,611,33,143,1,498,0.5,0.5,,1952,310,1,1749262782,50,616,3830,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2012
אורטל,אורטל,4013,ORTAL,2,29,292,71,,1,321,0.3,0.3,,1978,330,15,2718677661,885,219,1270,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4013
אורים,אורים,403,URIM,6,62,622,38,,1,470,0.5,0.4,,1946,330,15,1545457936,94,651,3430,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=403
אורנים,אורנים,882,ORANIM,3,31,311,12,222,1,177,0.1,0.1,,1951,340,,2104973529,75,301,1160,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=882
אורנית,אורנית,3760,ORANIT,7,73,,99,145,1,8495,8.5,8.4,,1985,180,,1994767087,125,718,4164,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3760
אושה,אושה,278,USHA,3,31,311,12,222,1,462,0.5,0.5,,1937,330,15,2110474459,31,301,1160,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=278
אזור,אזור,565,AZOR,5,53,513,99,123,1,12227,12.2,11.6,,1948,170,,1819265901,25,552,2200,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=565
"אזור אילון מ""א 4","אזור אילון מ""א 4",1852,no name,2,24,244,4,,,,,,,,530,,2196077510,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1852
"אזור אילון מ""א 52","אזור אילון מ""א 52",1851,no name,2,24,244,52,,,,,,,,530,,2266077360,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1851
"אזור אילון של""ש","אזור אילון של""ש",1853,no name,2,24,244,,,,,,,,,530,,2314076950,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1853
"אזור אשדוד מ""א 29","אזור אשדוד מ""א 29",1922,no name,6,61,613,29,,,,,,,,530,,1726063970,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1922
"אזור אשדוד מ""א 33","אזור אשדוד מ""א 33",1921,no name,6,61,613,33,,,,,,,,530,,1649062930,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1921
"אזור אשדוד של""ש","אזור אשדוד של""ש",1923,no name,6,61,613,,,,,,,,,530,,1681064050,,,,2015,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1923
